gene_symbol,transcript_id,TPM
TIE1,ENST00000372476,0
MPL,ENST00000372470,0
CDC20,ENST00000310955,1.304631
ELOVL1,ENST00000372458,0
MED8,ENST00000372457,1.062527
PTPRF,ENST00000359947,0
KDM4A,ENST00000372396,0.862159
ST3GAL3,ENST00000347631,0
ARTN,ENST00000372359,0
IPO13,ENST00000372343,0.753915
DPH2,ENST00000255108,1.032699
ATP6V0B,ENST00000472174,0
CCDC24,ENST00000372318,1.170412
SLC6A9,ENST00000372310,0.633976
KLF17,ENST00000372299,0
DMAP1,ENST00000372289,0
ERI3,ENST00000372257,0
RNF220,ENST00000361799,0
TMEM53,ENST00000372237,0
C1orf228,ENST00000535358,0
KIF2C,ENST00000372224,4.193992
RPS8,ENST00000396651,16.526713
BEST4,ENST00000372207,4.43909
PLK3,ENST00000372201,0
TCTEX1D4,ENST00000339355,5.330205
PTCH2,ENST00000372192,0.438953
EIF2B3,ENST00000360403,0
HECTD3,ENST00000372172,0
UROD,ENST00000246337,0
ZSWIM5,ENST00000359600,2.925494
HPDL,ENST00000334815,16.647638
MUTYH,ENST00000456914,0
TOE1,ENST00000372090,0
TESK2,ENST00000372086,0
MMACHC,ENST00000401061,248.668146
PRDX1,ENST00000319248,0
AKR1A1,ENST00000351829,0
NASP,ENST00000350030,0
CCDC17,ENST00000528266,0
GPBP1L1,ENST00000355105,0
TMEM69,ENST00000372025,21.028595
IPP,ENST00000396478,5.094794
MAST2,ENST00000361297,2.371321
PIK3R3,ENST00000262741,1.258069
TSPAN1,ENST00000372003,3.339715
POMGNT1,ENST00000371984,0
LURAP1,ENST00000371980,1.141552
RAD54L,ENST00000371975,0
UQCRH,ENST00000311672,6.341957
FAAH,ENST00000243167,0
DMBX1,ENST00000360032,0
KNCN,ENST00000481882,0
MKNK1,ENST00000371945,0
TEX38,ENST00000334122,0
EFCAB14,ENST00000371933,0
CYP4B1,ENST00000371923,0
CYP4A11,ENST00000310638,0
CYP4X1,ENST00000371901,0
CYP4Z1,ENST00000334194,0
CYP4A22,ENST00000371891,0.399493
PDZK1IP1,ENST00000294338,0
STIL,ENST00000371877,0
FOXE3,ENST00000335071,0
